rh.aparc.a2009s.area	rh_G&S_frontomargin_area	rh_G&S_occipital_inf_area	rh_G&S_paracentral_area	rh_G&S_subcentral_area	rh_G&S_transv_frontopol_area	rh_G&S_cingul-Ant_area	rh_G&S_cingul-Mid-Ant_area	rh_G&S_cingul-Mid-Post_area	rh_G_cingul-Post-dorsal_area	rh_G_cingul-Post-ventral_area	rh_G_cuneus_area	rh_G_front_inf-Opercular_area	rh_G_front_inf-Orbital_area	rh_G_front_inf-Triangul_area	rh_G_front_middle_area	rh_G_front_sup_area	rh_G_Ins_lg&S_cent_ins_area	rh_G_insular_short_area	rh_G_occipital_middle_area	rh_G_occipital_sup_area	rh_G_oc-temp_lat-fusifor_area	rh_G_oc-temp_med-Lingual_area	rh_G_oc-temp_med-Parahip_area	rh_G_orbital_area	rh_G_pariet_inf-Angular_area	rh_G_pariet_inf-Supramar_area	rh_G_parietal_sup_area	rh_G_postcentral_area	rh_G_precentral_area	rh_G_precuneus_area	rh_G_rectus_area	rh_G_subcallosal_area	rh_G_temp_sup-G_T_transv_area	rh_G_temp_sup-Lateral_area	rh_G_temp_sup-Plan_polar_area	rh_G_temp_sup-Plan_tempo_area	rh_G_temporal_inf_area	rh_G_temporal_middle_area	rh_Lat_Fis-ant-Horizont_area	rh_Lat_Fis-ant-Vertical_area	rh_Lat_Fis-post_area	rh_Pole_occipital_area	rh_Pole_temporal_area	rh_S_calcarine_area	rh_S_central_area	rh_S_cingul-Marginalis_area	rh_S_circular_insula_ant_area	rh_S_circular_insula_inf_area	rh_S_circular_insula_sup_area	rh_S_collat_transv_ant_area	rh_S_collat_transv_post_area	rh_S_front_inf_area	rh_S_front_middle_area	rh_S_front_sup_area	rh_S_interm_prim-Jensen_area	rh_S_intrapariet&P_trans_area	rh_S_oc_middle&Lunatus_area	rh_S_oc_sup&transversal_area	rh_S_occipital_ant_area	rh_S_oc-temp_lat_area	rh_S_oc-temp_med&Lingual_area	rh_S_orbital_lateral_area	rh_S_orbital_med-olfact_area	rh_S_orbital-H_Shaped_area	rh_S_parieto_occipital_area	rh_S_pericallosal_area	rh_S_postcentral_area	rh_S_precentral-inf-part_area	rh_S_precentral-sup-part_area	rh_S_suborbital_area	rh_S_subparietal_area	rh_S_temporal_inf_area	rh_S_temporal_sup_area	rh_S_temporal_transverse_area	rh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV
sub-0033	557.0	993.0	1007.0	929.0	773.0	1962.0	912.0	1023.0	378.0	170.0	1470.0	812.0	378.0	712.0	2680.0	4222.0	389.0	584.0	1393.0	988.0	1562.0	1690.0	626.0	1764.0	2144.0	1587.0	1579.0	1332.0	1309.0	1396.0	543.0	324.0	238.0	1197.0	486.0	564.0	1382.0	1882.0	243.0	175.0	918.0	2328.0	1115.0	1436.0	1758.0	934.0	352.0	669.0	879.0	536.0	218.0	1330.0	1349.0	1766.0	382.0	2159.0	541.0	962.0	523.0	732.0	1388.0	336.0	461.0	805.0	1343.0	965.0	1660.0	1151.0	743.0	211.0	775.0	739.0	4316.0	102.0	80235.1	1114250.0	1282027.556818
sub-0034	712.0	926.0	979.0	916.0	794.0	1973.0	923.0	1064.0	429.0	241.0	1498.0	1033.0	269.0	819.0	3324.0	5000.0	403.0	569.0	1819.0	1260.0	980.0	2048.0	883.0	1869.0	1609.0	1261.0	1409.0	1306.0	1737.0	1533.0	590.0	122.0	295.0	1299.0	491.0	588.0	1371.0	1841.0	333.0	252.0	893.0	2267.0	1182.0	1547.0	2098.0	1006.0	393.0	784.0	940.0	746.0	367.0	1572.0	1470.0	1890.0	187.0	2450.0	846.0	873.0	473.0	640.0	1136.0	328.0	488.0	1072.0	1580.0	984.0	1778.0	1433.0	945.0	170.0	858.0	883.0	4078.0	253.0	85380.9	1190883.0	1281517.339249
sub-0035	682.0	950.0	888.0	900.0	851.0	2041.0	882.0	912.0	353.0	158.0	1207.0	869.0	201.0	630.0	2578.0	4488.0	578.0	415.0	1411.0	784.0	1422.0	1461.0	823.0	1773.0	1891.0	1410.0	1576.0	1223.0	1629.0	1469.0	641.0	393.0	249.0	1287.0	407.0	483.0	1690.0	2181.0	285.0	129.0	961.0	1851.0	1101.0	1401.0	1883.0	901.0	493.0	845.0	773.0	825.0	261.0	1530.0	1534.0	1816.0	236.0	2173.0	585.0	679.0	601.0	792.0	1186.0	405.0	626.0	926.0	1572.0	950.0	1584.0	1163.0	905.0	207.0	816.0	855.0	4964.0	281.0	81882.5	1093359.0	1487893.384555
sub-0036	608.0	931.0	950.0	1037.0	691.0	1888.0	816.0	834.0	256.0	175.0	1322.0	810.0	230.0	506.0	2637.0	4083.0	370.0	645.0	1767.0	997.0	1435.0	1724.0	910.0	1685.0	1810.0	1672.0	1657.0	1115.0	1367.0	1564.0	620.0	148.0	320.0	1151.0	375.0	518.0	1536.0	1768.0	253.0	155.0	930.0	2286.0	1135.0	1575.0	1705.0	972.0	400.0	764.0	854.0	926.0	267.0	1165.0	1519.0	1706.0	349.0	2481.0	530.0	930.0	623.0	802.0	1340.0	305.0	457.0	840.0	1344.0	529.0	1514.0	995.0	837.0	239.0	752.0	888.0	3672.0	252.0	79213.2	1042832.0	1170094.984101
sub-0037	562.0	844.0	826.0	879.0	722.0	2014.0	1054.0	1037.0	449.0	176.0	1273.0	819.0	272.0	619.0	3024.0	4482.0	425.0	415.0	1650.0	885.0	1270.0	1642.0	775.0	1690.0	2375.0	1440.0	1485.0	1413.0	1481.0	1652.0	549.0	113.0	183.0	1050.0	715.0	525.0	1592.0	2233.0	292.0	254.0	825.0	1899.0	1145.0	1580.0	2033.0	890.0	295.0	642.0	884.0	598.0	110.0	1416.0	1360.0	2132.0	339.0	2407.0	543.0	697.0	644.0	669.0	1360.0	308.0	434.0	906.0	1348.0	757.0	1736.0	1006.0	848.0	293.0	928.0	971.0	4283.0	175.0	81619.4	1077984.0	1313579.750429
sub-0038	539.0	737.0	850.0	1051.0	844.0	2146.0	985.0	1001.0	379.0	136.0	1188.0	884.0	290.0	661.0	2711.0	4581.0	330.0	437.0	1321.0	872.0	1054.0	1479.0	836.0	1699.0	1979.0	1782.0	1557.0	1219.0	1511.0	1744.0	625.0	186.0	299.0	1282.0	518.0	529.0	1662.0	1817.0	220.0	212.0	963.0	1895.0	1207.0	1176.0	1867.0	753.0	450.0	712.0	883.0	694.0	287.0	1382.0	1757.0	1855.0	222.0	2069.0	360.0	890.0	531.0	608.0	1314.0	322.0	501.0	946.0	1459.0	824.0	1618.0	1190.0	1031.0	339.0	1054.0	847.0	3674.0	142.0	79976.8	1065041.0	1155574.165384
sub-0039	575.0	869.0	836.0	748.0	849.0	1672.0	828.0	873.0	355.0	178.0	1398.0	859.0	274.0	582.0	2245.0	3522.0	402.0	366.0	1440.0	962.0	1166.0	1984.0	807.0	1589.0	2134.0	1421.0	1932.0	1072.0	1444.0	1845.0	574.0	68.0	271.0	1069.0	595.0	475.0	1618.0	1734.0	233.0	125.0	863.0	2388.0	1126.0	1498.0	1847.0	732.0	270.0	601.0	676.0	679.0	360.0	1296.0	1398.0	1463.0	355.0	2579.0	561.0	1008.0	415.0	584.0	1264.0	346.0	457.0	769.0	1329.0	620.0	1538.0	1049.0	771.0	101.0	869.0	809.0	4315.0	117.0	77043.6	1042272.0	1216281.240076
sub-0040	717.0	756.0	892.0	789.0	814.0	2071.0	950.0	1009.0	334.0	228.0	1637.0	865.0	244.0	574.0	3050.0	4304.0	580.0	390.0	1582.0	937.0	1022.0	2142.0	788.0	1739.0	1742.0	1903.0	1765.0	1353.0	1803.0	1588.0	593.0	193.0	267.0	1408.0	520.0	523.0	1458.0	1909.0	218.0	200.0	917.0	2462.0	1161.0	2286.0	2017.0	898.0	330.0	808.0	815.0	703.0	336.0	1210.0	1671.0	2082.0	227.0	2553.0	653.0	1046.0	424.0	722.0	1276.0	279.0	540.0	1031.0	1519.0	920.0	1637.0	1158.0	876.0	271.0	783.0	853.0	4164.0	166.0	84652.4	1159406.0	1299590.7541
sub-0041	682.0	1004.0	839.0	1099.0	987.0	2989.0	1261.0	1285.0	549.0	242.0	1534.0	985.0	305.0	726.0	4315.0	5820.0	668.0	488.0	2068.0	1063.0	1238.0	1988.0	1484.0	2038.0	2090.0	2200.0	2177.0	1942.0	2098.0	1927.0	684.0	482.0	240.0	1460.0	630.0	620.0	2217.0	2148.0	351.0	220.0	1133.0	2137.0	1352.0	1484.0	2449.0	908.0	456.0	851.0	1105.0	1051.0	263.0	1799.0	2020.0	2610.0	252.0	2454.0	773.0	1140.0	536.0	776.0	1592.0	414.0	574.0	1193.0	1867.0	1162.0	2374.0	1544.0	1064.0	377.0	1341.0	1055.0	4913.0	247.0	102411.0	1403826.0	1809842.58152
sub-0042	640.0	718.0	954.0	866.0	770.0	1990.0	981.0	1075.0	436.0	225.0	1774.0	951.0	399.0	765.0	2782.0	4633.0	416.0	377.0	1326.0	1588.0	1154.0	2151.0	778.0	2051.0	1885.0	2230.0	2020.0	1483.0	1726.0	1814.0	740.0	543.0	263.0	1487.0	801.0	688.0	1406.0	1854.0	265.0	209.0	1002.0	2353.0	1140.0	1814.0	1872.0	903.0	359.0	760.0	1075.0	671.0	308.0	1597.0	1561.0	2141.0	369.0	2346.0	716.0	1198.0	447.0	649.0	1282.0	380.0	609.0	1084.0	1743.0	1003.0	1942.0	983.0	1101.0	275.0	934.0	910.0	4387.0	180.0	89305.7	1153841.0	1233708.303119
sub-0043	681.0	987.0	923.0	1130.0	975.0	1850.0	1003.0	1048.0	340.0	249.0	1707.0	1317.0	281.0	1124.0	3027.0	5218.0	397.0	434.0	1543.0	1077.0	1055.0	2242.0	694.0	1860.0	1721.0	1779.0	1616.0	1362.0	1838.0	1512.0	629.0	266.0	205.0	1157.0	604.0	568.0	1516.0	1870.0	413.0	283.0	1065.0	2924.0	1131.0	2025.0	1985.0	934.0	399.0	738.0	1026.0	477.0	404.0	1857.0	1337.0	1950.0	331.0	2268.0	802.0	799.0	408.0	614.0	1394.0	235.0	692.0	881.0	1861.0	866.0	1937.0	1427.0	1117.0	155.0	601.0	916.0	4379.0	217.0	88654.8	1148252.0	1488278.352641
sub-0044	505.0	889.0	926.0	904.0	708.0	1957.0	1074.0	1055.0	384.0	219.0	1543.0	754.0	209.0	570.0	2341.0	4939.0	379.0	336.0	1522.0	892.0	1137.0	2131.0	943.0	1502.0	1835.0	1509.0	1359.0	1225.0	1775.0	1604.0	541.0	87.0	220.0	1198.0	720.0	518.0	1923.0	1980.0	169.0	228.0	889.0	2441.0	1160.0	1314.0	2021.0	964.0	313.0	717.0	858.0	796.0	318.0	1432.0	1405.0	1766.0	294.0	1903.0	569.0	870.0	674.0	962.0	1418.0	293.0	441.0	786.0	1189.0	610.0	1512.0	1180.0	916.0	223.0	570.0	1064.0	4145.0	204.0	80927.8	1098496.0	1358076.168294
sub-0045	623.0	986.0	817.0	1237.0	748.0	2119.0	990.0	949.0	375.0	292.0	1615.0	956.0	258.0	579.0	3034.0	3767.0	339.0	341.0	1642.0	1058.0	1060.0	2351.0	636.0	1800.0	1973.0	1819.0	1717.0	1424.0	1721.0	1597.0	584.0	379.0	233.0	1134.0	669.0	616.0	1623.0	1831.0	243.0	119.0	872.0	2201.0	1171.0	2005.0	1853.0	764.0	315.0	652.0	884.0	516.0	350.0	1383.0	1688.0	2028.0	292.0	1981.0	720.0	984.0	437.0	690.0	1484.0	242.0	479.0	921.0	1654.0	898.0	1654.0	1207.0	792.0	118.0	965.0	828.0	3463.0	194.0	82941.7	1117416.0	1210231.412956
sub-0046	700.0	850.0	1035.0	948.0	829.0	2471.0	989.0	1163.0	381.0	170.0	1579.0	1067.0	229.0	851.0	2668.0	4737.0	358.0	368.0	1897.0	1018.0	1059.0	2054.0	1579.0	2137.0	2331.0	1797.0	1728.0	1508.0	1879.0	1748.0	624.0	292.0	167.0	1164.0	422.0	596.0	1632.0	2402.0	288.0	228.0	899.0	2421.0	1301.0	1634.0	2263.0	1108.0	311.0	798.0	792.0	1005.0	384.0	1787.0	1791.0	1603.0	288.0	2508.0	898.0	1002.0	441.0	741.0	1506.0	389.0	486.0	1058.0	1354.0	828.0	2035.0	1346.0	663.0	293.0	1016.0	1116.0	4658.0	134.0	90803.0	1305197.0	1606098.295409
sub-0047	602.0	981.0	940.0	1261.0	722.0	2598.0	1088.0	897.0	488.0	272.0	1581.0	1036.0	352.0	712.0	3659.0	5876.0	468.0	520.0	1464.0	1250.0	1340.0	2256.0	1026.0	1858.0	2304.0	2326.0	2009.0	1630.0	1562.0	1970.0	590.0	337.0	430.0	1374.0	785.0	660.0	1885.0	2362.0	321.0	165.0	1167.0	2310.0	1293.0	1832.0	1869.0	912.0	404.0	968.0	1310.0	773.0	328.0	1731.0	1550.0	2276.0	386.0	2396.0	591.0	995.0	689.0	769.0	1236.0	363.0	491.0	894.0	2222.0	1005.0	2163.0	1346.0	870.0	133.0	1006.0	1193.0	4513.0	221.0	96158.6	1315037.0	1620396.617557
sub-0048	643.0	776.0	1033.0	918.0	888.0	1961.0	875.0	939.0	316.0	160.0	1613.0	1061.0	329.0	955.0	2673.0	3827.0	422.0	435.0	1487.0	1198.0	1171.0	1860.0	731.0	1867.0	1966.0	1813.0	1956.0	1433.0	1523.0	1815.0	608.0	301.0	329.0	1254.0	718.0	476.0	1351.0	1958.0	250.0	169.0	956.0	2420.0	1139.0	1422.0	2070.0	1022.0	403.0	784.0	1024.0	729.0	355.0	1357.0	1277.0	2111.0	238.0	2273.0	676.0	920.0	357.0	657.0	1486.0	404.0	468.0	949.0	1745.0	717.0	1778.0	1244.0	851.0	155.0	625.0	664.0	4301.0	220.0	83857.1	1136284.0	1301696.092796
sub-0049	628.0	921.0	880.0	877.0	644.0	2075.0	1125.0	1050.0	369.0	172.0	1694.0	746.0	213.0	710.0	2227.0	4201.0	294.0	295.0	1212.0	1063.0	1171.0	1849.0	681.0	1689.0	1858.0	1223.0	1827.0	1164.0	1594.0	1546.0	567.0	67.0	235.0	975.0	639.0	468.0	1485.0	1482.0	195.0	134.0	774.0	2661.0	1229.0	1965.0	2005.0	715.0	299.0	749.0	754.0	466.0	329.0	1312.0	1693.0	2048.0	129.0	1624.0	603.0	792.0	366.0	628.0	1368.0	346.0	505.0	864.0	1471.0	845.0	1306.0	1135.0	971.0	301.0	611.0	984.0	3552.0	251.0	77894.9	1070706.0	1184629.23971
sub-0050	721.0	807.0	878.0	1170.0	958.0	2640.0	1021.0	1113.0	488.0	238.0	1621.0	1087.0	261.0	682.0	3113.0	5565.0	363.0	342.0	1982.0	1438.0	844.0	2137.0	1312.0	2062.0	2131.0	1912.0	1932.0	1432.0	1805.0	2217.0	623.0	385.0	248.0	1423.0	505.0	550.0	1897.0	2361.0	249.0	142.0	1014.0	2345.0	1164.0	1373.0	2054.0	960.0	373.0	708.0	861.0	734.0	382.0	1629.0	2042.0	2506.0	255.0	2763.0	776.0	1350.0	498.0	753.0	1216.0	334.0	499.0	1179.0	1767.0	911.0	2184.0	1381.0	1553.0	299.0	1204.0	1018.0	4877.0	255.0	95870.0	1341559.0	1621316.504598
sub-0051	722.0	1122.0	774.0	1362.0	919.0	2020.0	1190.0	1094.0	483.0	250.0	1861.0	1235.0	420.0	888.0	3140.0	4658.0	381.0	525.0	1776.0	1418.0	1549.0	2552.0	798.0	2154.0	2448.0	2050.0	1579.0	1390.0	1987.0	1615.0	686.0	222.0	311.0	1382.0	751.0	718.0	1520.0	2120.0	327.0	183.0	1079.0	3279.0	1467.0	2421.0	2001.0	1025.0	519.0	824.0	1200.0	750.0	461.0	1953.0	1770.0	2127.0	422.0	2479.0	902.0	1078.0	539.0	820.0	1276.0	428.0	599.0	1088.0	1715.0	858.0	2354.0	1469.0	981.0	181.0	1206.0	943.0	4381.0	179.0	97350.8	1295666.0	1498996.190611
sub-0052	651.0	835.0	954.0	942.0	1043.0	2025.0	1047.0	1083.0	363.0	223.0	1381.0	1104.0	265.0	652.0	3376.0	4816.0	362.0	404.0	1662.0	937.0	1463.0	2157.0	964.0	1911.0	1811.0	2349.0	1669.0	1221.0	1596.0	1565.0	531.0	422.0	244.0	1168.0	676.0	630.0	1611.0	1900.0	286.0	207.0	1013.0	2090.0	1179.0	1582.0	1831.0	1104.0	376.0	810.0	936.0	842.0	271.0	1579.0	1640.0	2213.0	282.0	2202.0	686.0	846.0	583.0	827.0	1285.0	299.0	532.0	1005.0	1729.0	1111.0	1972.0	1061.0	1108.0	229.0	735.0	787.0	4041.0	149.0	87442.0	1168873.0	1372640.288417
sub-0053	696.0	935.0	729.0	1202.0	815.0	2257.0	944.0	882.0	317.0	222.0	1438.0	952.0	310.0	569.0	2606.0	4566.0	335.0	404.0	1499.0	1000.0	1049.0	1798.0	867.0	1998.0	2313.0	2110.0	1463.0	1585.0	1675.0	1624.0	803.0	107.0	209.0	1055.0	651.0	515.0	1728.0	2144.0	283.0	184.0	970.0	2137.0	1215.0	1419.0	1801.0	686.0	465.0	606.0	1000.0	697.0	378.0	1088.0	1976.0	2195.0	421.0	2017.0	580.0	968.0	449.0	374.0	1212.0	252.0	539.0	1003.0	1533.0	716.0	2304.0	988.0	708.0	230.0	1033.0	880.0	3714.0	221.0	83610.4	1164251.0	1262352.865019
sub-0054	679.0	737.0	1059.0	1104.0	907.0	2252.0	1024.0	1037.0	317.0	210.0	1611.0	1004.0	278.0	603.0	3147.0	4709.0	395.0	493.0	1360.0	1086.0	1369.0	2068.0	620.0	1804.0	2212.0	2500.0	1984.0	1531.0	1489.0	1856.0	559.0	144.0	246.0	1450.0	562.0	575.0	1701.0	2200.0	250.0	127.0	930.0	2307.0	1413.0	1663.0	1994.0	864.0	361.0	830.0	964.0	651.0	380.0	1478.0	2224.0	2187.0	347.0	2882.0	622.0	1057.0	267.0	767.0	1450.0	382.0	476.0	1008.0	1619.0	967.0	2209.0	1099.0	937.0	174.0	929.0	915.0	4936.0	244.0	90796.1	1220922.0	1354248.342829
sub-0055	511.0	887.0	830.0	1002.0	731.0	1816.0	791.0	1170.0	316.0	187.0	1411.0	825.0	285.0	678.0	2518.0	4732.0	485.0	414.0	1356.0	1127.0	1262.0	1599.0	770.0	1785.0	1801.0	1869.0	1938.0	1438.0	1436.0	1916.0	559.0	347.0	255.0	1284.0	640.0	556.0	1617.0	1882.0	211.0	225.0	1033.0	1980.0	1125.0	1359.0	1864.0	792.0	438.0	728.0	839.0	818.0	265.0	1146.0	1231.0	1733.0	153.0	2243.0	406.0	963.0	454.0	726.0	1373.0	413.0	465.0	936.0	1770.0	836.0	2019.0	915.0	906.0	273.0	677.0	889.0	4126.0	271.0	81628.4	1102577.0	1220870.241676
sub-0056	636.0	1100.0	863.0	1109.0	766.0	2073.0	1049.0	838.0	351.0	152.0	1158.0	1282.0	255.0	791.0	2278.0	4404.0	353.0	350.0	1923.0	976.0	1589.0	1470.0	947.0	1889.0	2327.0	1583.0	1789.0	1262.0	1602.0	2019.0	617.0	410.0	255.0	1344.0	441.0	693.0	1794.0	2246.0	301.0	325.0	1045.0	2254.0	1304.0	1280.0	1803.0	836.0	327.0	815.0	937.0	805.0	229.0	1426.0	1488.0	1635.0	311.0	2520.0	515.0	723.0	641.0	722.0	1708.0	281.0	549.0	1015.0	1518.0	804.0	1547.0	1249.0	898.0	265.0	1212.0	1074.0	5437.0	158.0	86937.2	1152178.0	1323288.326223
sub-0057	579.0	780.0	965.0	955.0	720.0	1818.0	826.0	905.0	316.0	198.0	1413.0	1138.0	205.0	825.0	2292.0	3647.0	350.0	380.0	1419.0	943.0	1179.0	1806.0	1036.0	1666.0	2351.0	1434.0	1563.0	1279.0	1611.0	1720.0	561.0	394.0	204.0	1163.0	418.0	512.0	1701.0	2035.0	225.0	201.0	895.0	2271.0	1108.0	1405.0	2062.0	793.0	363.0	756.0	899.0	635.0	313.0	1855.0	1805.0	1576.0	513.0	2448.0	523.0	734.0	547.0	793.0	1165.0	362.0	602.0	797.0	1619.0	849.0	1608.0	1390.0	742.0	292.0	994.0	1005.0	4310.0	194.0	81956.2	1065511.0	1471361.003633
sub-0058	643.0	1067.0	972.0	1029.0	900.0	1946.0	806.0	1109.0	454.0	251.0	1644.0	882.0	332.0	591.0	2623.0	4822.0	375.0	616.0	1751.0	950.0	1213.0	2266.0	840.0	2054.0	1826.0	1933.0	1701.0	1365.0	1615.0	1731.0	626.0	170.0	301.0	1220.0	461.0	601.0	1515.0	2332.0	266.0	184.0	935.0	2409.0	1271.0	1901.0	1997.0	1042.0	461.0	832.0	1021.0	695.0	330.0	1225.0	1386.0	1530.0	295.0	2568.0	800.0	1039.0	682.0	653.0	1172.0	342.0	588.0	1024.0	1530.0	909.0	1912.0	1022.0	1035.0	172.0	819.0	962.0	4228.0	201.0	86971.7	1146292.0	1272362.251359
sub-0059	677.0	1059.0	931.0	1018.0	883.0	2302.0	1095.0	987.0	400.0	228.0	1733.0	958.0	321.0	768.0	2618.0	3970.0	384.0	559.0	1680.0	1168.0	1610.0	2064.0	1066.0	2019.0	2186.0	1782.0	1779.0	1416.0	1857.0	2000.0	600.0	485.0	312.0	1412.0	576.0	520.0	1584.0	2070.0	228.0	318.0	901.0	2452.0	1195.0	1633.0	2116.0	976.0	354.0	838.0	1012.0	888.0	348.0	1713.0	1505.0	2235.0	441.0	2228.0	895.0	1264.0	535.0	744.0	1595.0	365.0	601.0	1030.0	1538.0	998.0	1748.0	1315.0	967.0	167.0	859.0	847.0	4020.0	277.0	90224.5	1207003.0	1637677.191224
sub-0060	681.0	742.0	764.0	859.0	864.0	1901.0	921.0	947.0	286.0	254.0	1917.0	889.0	204.0	575.0	2666.0	3921.0	386.0	468.0	1122.0	1045.0	1240.0	2122.0	825.0	1778.0	1845.0	1378.0	1572.0	1152.0	1659.0	1293.0	505.0	64.0	248.0	1097.0	459.0	439.0	1659.0	1851.0	331.0	98.0	756.0	2548.0	1115.0	2316.0	1868.0	700.0	320.0	688.0	769.0	667.0	366.0	1225.0	1733.0	1773.0	211.0	1918.0	480.0	764.0	453.0	714.0	1260.0	239.0	386.0	998.0	1645.0	781.0	1415.0	932.0	1207.0	223.0	828.0	832.0	3743.0	193.0	79085.7	1059213.0	1152295.99882
sub-0061	651.0	797.0	838.0	756.0	755.0	1790.0	949.0	944.0	314.0	171.0	1148.0	782.0	183.0	437.0	2220.0	3908.0	464.0	339.0	1292.0	841.0	1204.0	1837.0	553.0	1523.0	1486.0	1936.0	1521.0	1219.0	1523.0	1736.0	460.0	100.0	226.0	1054.0	384.0	488.0	1285.0	1531.0	289.0	184.0	859.0	1859.0	1081.0	1265.0	1757.0	845.0	336.0	633.0	713.0	565.0	394.0	1201.0	1447.0	1874.0	196.0	1899.0	472.0	852.0	352.0	523.0	1246.0	276.0	429.0	898.0	1134.0	875.0	1727.0	934.0	1002.0	287.0	721.0	600.0	3078.0	176.0	72625.8	959967.0	1029870.371546
sub-0062	801.0	1019.0	911.0	1221.0	877.0	1953.0	872.0	1002.0	325.0	247.0	1702.0	888.0	217.0	655.0	3065.0	3936.0	443.0	311.0	1545.0	1026.0	1271.0	2565.0	906.0	1906.0	2201.0	1474.0	1996.0	1321.0	1678.0	1719.0	702.0	120.0	255.0	1073.0	527.0	509.0	1680.0	2022.0	251.0	141.0	911.0	2468.0	1238.0	2246.0	2171.0	774.0	369.0	726.0	1013.0	741.0	356.0	1185.0	1984.0	1994.0	150.0	2476.0	570.0	759.0	663.0	491.0	1263.0	381.0	652.0	1035.0	1717.0	969.0	1850.0	1210.0	963.0	197.0	787.0	1084.0	3987.0	270.0	86983.8	1139987.0	1505539.037986
sub-0063	772.0	1039.0	978.0	1011.0	753.0	2225.0	929.0	1029.0	473.0	255.0	1496.0	843.0	315.0	362.0	2960.0	4767.0	376.0	695.0	1793.0	1215.0	1420.0	2265.0	982.0	2213.0	2232.0	1879.0	1713.0	1465.0	1965.0	1614.0	593.0	471.0	244.0	1418.0	647.0	574.0	1803.0	2433.0	187.0	111.0	913.0	2747.0	1333.0	1840.0	2296.0	1042.0	475.0	837.0	899.0	771.0	550.0	1313.0	1429.0	1852.0	204.0	2847.0	856.0	979.0	704.0	769.0	1417.0	354.0	607.0	1141.0	1632.0	945.0	1524.0	1184.0	1025.0	232.0	943.0	1142.0	4526.0	262.0	92102.5	1288682.0	1778611.402802
sub-0064	765.0	639.0	914.0	922.0	688.0	1969.0	998.0	1011.0	394.0	223.0	1302.0	844.0	268.0	610.0	2467.0	3897.0	353.0	558.0	1493.0	1058.0	1260.0	1873.0	662.0	1890.0	2114.0	1856.0	1637.0	1357.0	1544.0	1702.0	543.0	282.0	229.0	1145.0	497.0	588.0	1315.0	2028.0	279.0	179.0	907.0	2050.0	1091.0	1777.0	1998.0	923.0	373.0	663.0	857.0	457.0	271.0	1514.0	1347.0	1820.0	333.0	2781.0	672.0	1147.0	240.0	689.0	1420.0	382.0	501.0	883.0	1114.0	1068.0	1564.0	1002.0	904.0	240.0	981.0	862.0	4004.0	194.0	81378.9	1130362.0	1288546.246772
sub-0065	725.0	802.0	937.0	865.0	908.0	1877.0	936.0	994.0	492.0	228.0	1597.0	827.0	308.0	955.0	2573.0	4574.0	350.0	412.0	1325.0	1224.0	1515.0	2007.0	958.0	1715.0	1966.0	1959.0	1846.0	1547.0	1641.0	2240.0	545.0	432.0	276.0	1260.0	425.0	538.0	1692.0	1923.0	252.0	175.0	881.0	2253.0	1058.0	1550.0	1918.0	737.0	362.0	804.0	973.0	553.0	284.0	1273.0	1625.0	1952.0	181.0	2387.0	499.0	1022.0	400.0	928.0	1681.0	405.0	490.0	811.0	1812.0	1128.0	1904.0	941.0	985.0	196.0	1040.0	843.0	4227.0	182.0	86109.7	1171889.0	1323655.107233
sub-0066	848.0	1232.0	1051.0	1253.0	940.0	2733.0	1399.0	1299.0	387.0	209.0	1918.0	1250.0	375.0	896.0	3199.0	5776.0	355.0	496.0	2308.0	1438.0	1820.0	1785.0	969.0	2203.0	1753.0	2218.0	1655.0	1388.0	1893.0	1923.0	647.0	296.0	311.0	1389.0	664.0	870.0	1911.0	2078.0	303.0	296.0	1065.0	2785.0	1143.0	1704.0	2041.0	1122.0	363.0	829.0	926.0	1004.0	416.0	1955.0	2040.0	2848.0	247.0	2648.0	1271.0	1019.0	846.0	1038.0	1464.0	405.0	508.0	1202.0	1868.0	963.0	1684.0	1285.0	1400.0	329.0	873.0	1210.0	4239.0	225.0	100699.0	1290488.0	1727795.132291
sub-0067	601.0	814.0	883.0	833.0	695.0	2149.0	945.0	1036.0	413.0	216.0	1835.0	692.0	218.0	672.0	3209.0	4804.0	347.0	344.0	1468.0	1086.0	1606.0	1810.0	749.0	2128.0	2476.0	1639.0	1834.0	1372.0	1648.0	1780.0	580.0	212.0	192.0	1273.0	702.0	500.0	1571.0	2091.0	138.0	177.0	785.0	2440.0	1326.0	1635.0	2156.0	745.0	302.0	739.0	776.0	623.0	444.0	1583.0	1849.0	1995.0	479.0	2296.0	663.0	1218.0	307.0	481.0	1539.0	461.0	524.0	1074.0	1547.0	986.0	1663.0	1227.0	793.0	142.0	909.0	1123.0	4548.0	155.0	87273.5	1162188.0	1386454.233187
