lh.aparc.a2009s.volume	lh_G&S_frontomargin_volume	lh_G&S_occipital_inf_volume	lh_G&S_paracentral_volume	lh_G&S_subcentral_volume	lh_G&S_transv_frontopol_volume	lh_G&S_cingul-Ant_volume	lh_G&S_cingul-Mid-Ant_volume	lh_G&S_cingul-Mid-Post_volume	lh_G_cingul-Post-dorsal_volume	lh_G_cingul-Post-ventral_volume	lh_G_cuneus_volume	lh_G_front_inf-Opercular_volume	lh_G_front_inf-Orbital_volume	lh_G_front_inf-Triangul_volume	lh_G_front_middle_volume	lh_G_front_sup_volume	lh_G_Ins_lg&S_cent_ins_volume	lh_G_insular_short_volume	lh_G_occipital_middle_volume	lh_G_occipital_sup_volume	lh_G_oc-temp_lat-fusifor_volume	lh_G_oc-temp_med-Lingual_volume	lh_G_oc-temp_med-Parahip_volume	lh_G_orbital_volume	lh_G_pariet_inf-Angular_volume	lh_G_pariet_inf-Supramar_volume	lh_G_parietal_sup_volume	lh_G_postcentral_volume	lh_G_precentral_volume	lh_G_precuneus_volume	lh_G_rectus_volume	lh_G_subcallosal_volume	lh_G_temp_sup-G_T_transv_volume	lh_G_temp_sup-Lateral_volume	lh_G_temp_sup-Plan_polar_volume	lh_G_temp_sup-Plan_tempo_volume	lh_G_temporal_inf_volume	lh_G_temporal_middle_volume	lh_Lat_Fis-ant-Horizont_volume	lh_Lat_Fis-ant-Vertical_volume	lh_Lat_Fis-post_volume	lh_Pole_occipital_volume	lh_Pole_temporal_volume	lh_S_calcarine_volume	lh_S_central_volume	lh_S_cingul-Marginalis_volume	lh_S_circular_insula_ant_volume	lh_S_circular_insula_inf_volume	lh_S_circular_insula_sup_volume	lh_S_collat_transv_ant_volume	lh_S_collat_transv_post_volume	lh_S_front_inf_volume	lh_S_front_middle_volume	lh_S_front_sup_volume	lh_S_interm_prim-Jensen_volume	lh_S_intrapariet&P_trans_volume	lh_S_oc_middle&Lunatus_volume	lh_S_oc_sup&transversal_volume	lh_S_occipital_ant_volume	lh_S_oc-temp_lat_volume	lh_S_oc-temp_med&Lingual_volume	lh_S_orbital_lateral_volume	lh_S_orbital_med-olfact_volume	lh_S_orbital-H_Shaped_volume	lh_S_parieto_occipital_volume	lh_S_pericallosal_volume	lh_S_postcentral_volume	lh_S_precentral-inf-part_volume	lh_S_precentral-sup-part_volume	lh_S_suborbital_volume	lh_S_subparietal_volume	lh_S_temporal_inf_volume	lh_S_temporal_sup_volume	lh_S_temporal_transverse_volume	BrainSegVolNotVent	eTIV
sub-0031	2679.0	3497.0	3199.0	3804.0	3199.0	5468.0	3118.0	3555.0	1805.0	768.0	3467.0	4428.0	1474.0	3471.0	14079.0	22349.0	2020.0	2729.0	6269.0	2628.0	5635.0	5756.0	4469.0	8145.0	7570.0	7913.0	7475.0	3547.0	6833.0	6320.0	2939.0	1706.0	1270.0	6928.0	2400.0	1986.0	9820.0	9662.0	472.0	485.0	1809.0	3608.0	6572.0	4532.0	3928.0	2059.0	1327.0	2616.0	2920.0	2247.0	985.0	3781.0	2809.0	6477.0	431.0	4229.0	1730.0	2357.0	1879.0	1927.0	3474.0	705.0	1183.0	2871.0	3699.0	1663.0	4271.0	2265.0	2172.0	1301.0	1875.0	2662.0	11405.0	748.0	1306451.0	1450269.997242
sub-0032	2238.0	3204.0	2933.0	3671.0	1704.0	4679.0	1975.0	2800.0	2172.0	1431.0	4651.0	3172.0	1104.0	1922.0	9339.0	18733.0	1526.0	2371.0	4511.0	3349.0	4120.0	6119.0	2851.0	7400.0	4497.0	7831.0	6739.0	3209.0	5926.0	6751.0	2769.0	875.0	1503.0	7691.0	2129.0	2611.0	5766.0	5282.0	300.0	545.0	1990.0	3153.0	5857.0	5405.0	2970.0	1557.0	1159.0	2043.0	2433.0	1610.0	449.0	3301.0	1668.0	5354.0	129.0	4337.0	1134.0	1398.0	813.0	1465.0	2919.0	516.0	909.0	2920.0	4438.0	1585.0	4294.0	2565.0	1817.0	831.0	1580.0	1563.0	8612.0	1094.0	1096925.0	1246161.583717
sub-0033	2301.0	3993.0	2858.0	3249.0	1861.0	4792.0	2299.0	2354.0	1711.0	687.0	3087.0	3853.0	1058.0	3820.0	10080.0	19097.0	1436.0	2717.0	4789.0	2551.0	5295.0	5502.0	3131.0	6874.0	7086.0	6876.0	5584.0	3939.0	5428.0	5402.0	2481.0	1001.0	845.0	5739.0	2070.0	1568.0	7092.0	7764.0	471.0	507.0	1462.0	3130.0	5402.0	2909.0	3042.0	1627.0	801.0	2105.0	2764.0	1795.0	730.0	3919.0	2208.0	6180.0	342.0	4089.0	1159.0	1736.0	919.0	1691.0	3231.0	728.0	1123.0	2717.0	3002.0	1448.0	3651.0	2172.0	1886.0	1279.0	1379.0	2255.0	9164.0	608.0	1114250.0	1282027.556818
sub-0034	1881.0	2532.0	3092.0	3372.0	2004.0	4954.0	2607.0	3159.0	1556.0	798.0	3137.0	3285.0	1282.0	2860.0	11411.0	17070.0	1808.0	2444.0	4954.0	2443.0	4331.0	5686.0	5046.0	5847.0	4391.0	5860.0	4959.0	4470.0	6653.0	5876.0	2302.0	1046.0	1043.0	5405.0	1826.0	1739.0	6539.0	6756.0	403.0	442.0	1596.0	2822.0	5810.0	2755.0	3773.0	1454.0	915.0	2450.0	2564.0	1501.0	550.0	2915.0	1714.0	5371.0	434.0	3168.0	1133.0	2383.0	1199.0	1236.0	3191.0	614.0	987.0	2372.0	2668.0	1166.0	3649.0	2614.0	2493.0	1633.0	1576.0	2026.0	8239.0	491.0	1190883.0	1281517.339249
sub-0035	1998.0	3345.0	3099.0	3192.0	2028.0	4985.0	2726.0	2721.0	1539.0	461.0	2275.0	3291.0	1066.0	2493.0	11031.0	19730.0	1941.0	2088.0	4169.0	2079.0	3998.0	2774.0	3591.0	5745.0	6156.0	5941.0	4717.0	3583.0	5799.0	5178.0	2700.0	988.0	1050.0	6310.0	1837.0	2120.0	5615.0	7555.0	472.0	494.0	1506.0	2648.0	5515.0	2161.0	3376.0	1702.0	732.0	2639.0	2708.0	1804.0	546.0	2633.0	2179.0	4748.0	397.0	3174.0	684.0	1469.0	1059.0	1411.0	2786.0	531.0	1051.0	2225.0	3133.0	1245.0	3521.0	2061.0	2092.0	1134.0	1246.0	2038.0	10824.0	401.0	1093359.0	1487893.384555
sub-0036	2290.0	3230.0	2718.0	2717.0	1468.0	4521.0	2380.0	2567.0	1239.0	575.0	2464.0	2775.0	1070.0	2389.0	9741.0	16574.0	1597.0	2408.0	4274.0	2198.0	4368.0	4470.0	4115.0	5327.0	5018.0	5961.0	5356.0	3457.0	4552.0	5432.0	2749.0	384.0	923.0	5211.0	1759.0	1807.0	6859.0	6036.0	355.0	574.0	1366.0	2962.0	3958.0	2718.0	3159.0	1552.0	718.0	2297.0	2434.0	1847.0	715.0	3225.0	2219.0	3896.0	651.0	3691.0	1131.0	1161.0	1021.0	1562.0	3030.0	358.0	1102.0	2428.0	2472.0	1418.0	3541.0	2379.0	1653.0	829.0	1437.0	1997.0	9120.0	714.0	1042832.0	1170094.984101
sub-0037	2206.0	3018.0	3098.0	2931.0	1734.0	4708.0	1960.0	2504.0	1856.0	554.0	2677.0	3192.0	1209.0	2699.0	10495.0	18211.0	1590.0	2301.0	4540.0	1886.0	4789.0	3681.0	2727.0	6091.0	5858.0	5971.0	5947.0	4739.0	6095.0	6723.0	3055.0	1165.0	659.0	5600.0	2069.0	1779.0	7888.0	7464.0	466.0	663.0	1184.0	2711.0	4595.0	2513.0	3870.0	1547.0	776.0	2133.0	2360.0	1278.0	571.0	2641.0	2004.0	5228.0	692.0	3769.0	1024.0	1648.0	1661.0	1448.0	3160.0	469.0	1019.0	2507.0	2537.0	1564.0	4111.0	2654.0	1662.0	910.0	1510.0	2552.0	10807.0	412.0	1077984.0	1313579.750429
sub-0038	2413.0	3352.0	2614.0	3218.0	1324.0	4795.0	2443.0	2594.0	1741.0	568.0	2338.0	3402.0	1186.0	2413.0	10623.0	17487.0	1632.0	2599.0	4449.0	2383.0	4482.0	4598.0	3817.0	6570.0	5754.0	6117.0	5858.0	3719.0	5931.0	6307.0	2580.0	643.0	1118.0	5246.0	2251.0	2123.0	6121.0	6051.0	464.0	439.0	1653.0	2481.0	5041.0	2471.0	3581.0	1454.0	894.0	2072.0	2422.0	1339.0	619.0	2874.0	1731.0	4790.0	305.0	4111.0	1214.0	1610.0	1117.0	1264.0	2947.0	402.0	938.0	2348.0	2907.0	1312.0	3346.0	3426.0	2012.0	1012.0	2131.0	1718.0	9229.0	633.0	1065041.0	1155574.165384
sub-0039	2227.0	2639.0	2586.0	2620.0	2263.0	4378.0	2308.0	2317.0	1615.0	603.0	2888.0	2893.0	1162.0	2765.0	7448.0	14971.0	1586.0	2394.0	5078.0	2241.0	3233.0	4543.0	4103.0	5276.0	6753.0	5467.0	5651.0	3008.0	4831.0	6312.0	2101.0	908.0	955.0	5784.0	2018.0	1417.0	6652.0	7432.0	394.0	678.0	1396.0	2669.0	5002.0	2705.0	3027.0	1276.0	743.0	1848.0	2041.0	1651.0	728.0	3345.0	1387.0	3334.0	71.0	4168.0	1081.0	2105.0	1379.0	1302.0	3718.0	634.0	840.0	1989.0	2307.0	1402.0	3519.0	2164.0	1279.0	1561.0	1538.0	2199.0	11024.0	646.0	1042272.0	1216281.240076
sub-0040	2442.0	3215.0	3426.0	2660.0	1741.0	5052.0	2878.0	2784.0	1724.0	697.0	3829.0	4618.0	1025.0	2211.0	11320.0	18386.0	1479.0	2517.0	5820.0	1897.0	4831.0	6054.0	3942.0	6942.0	5962.0	7366.0	6567.0	4039.0	6428.0	6408.0	2995.0	948.0	885.0	5580.0	1941.0	1236.0	6599.0	6775.0	300.0	396.0	1406.0	3204.0	5872.0	3529.0	3791.0	1555.0	780.0	2320.0	2435.0	1674.0	505.0	3435.0	2406.0	4639.0	556.0	4627.0	1604.0	2961.0	1170.0	1366.0	2837.0	665.0	1145.0	2422.0	3077.0	1688.0	3735.0	2829.0	2582.0	946.0	1663.0	2649.0	9526.0	649.0	1159406.0	1299590.7541
sub-0041	2613.0	3400.0	3305.0	4632.0	2127.0	6182.0	4024.0	2505.0	2480.0	840.0	2576.0	3928.0	1313.0	3006.0	13340.0	21112.0	1991.0	2976.0	4671.0	3194.0	4658.0	5256.0	6601.0	7272.0	10043.0	10252.0	7957.0	4409.0	8046.0	8127.0	3080.0	1610.0	1833.0	7581.0	2838.0	3056.0	7627.0	8886.0	439.0	423.0	2117.0	3501.0	6747.0	2804.0	4219.0	1228.0	946.0	2819.0	2912.0	2250.0	808.0	3591.0	2262.0	7589.0	1066.0	5514.0	1289.0	1734.0	1007.0	1641.0	3578.0	800.0	1165.0	2990.0	3518.0	2611.0	5336.0	3841.0	2445.0	1852.0	2848.0	3419.0	11959.0	614.0	1403826.0	1809842.58152
sub-0042	2057.0	2678.0	2762.0	2967.0	1996.0	4481.0	2469.0	2720.0	1479.0	633.0	3343.0	2983.0	867.0	3073.0	11034.0	18695.0	2168.0	2577.0	5183.0	3179.0	3814.0	4776.0	3445.0	6300.0	5997.0	6436.0	6015.0	3496.0	5561.0	6113.0	2745.0	1259.0	1077.0	5702.0	2214.0	2309.0	7003.0	7376.0	395.0	492.0	1663.0	2713.0	5865.0	2477.0	3489.0	1424.0	879.0	2771.0	2497.0	1421.0	628.0	3018.0	2223.0	5162.0	218.0	4045.0	1525.0	2191.0	996.0	2104.0	3256.0	589.0	940.0	2366.0	3746.0	1217.0	3920.0	2110.0	1517.0	1452.0	1771.0	2341.0	9007.0	741.0	1153841.0	1233708.303119
sub-0043	1688.0	2726.0	2420.0	3503.0	2157.0	4436.0	2105.0	2395.0	1481.0	952.0	3434.0	3894.0	1387.0	4121.0	12181.0	19103.0	1646.0	2490.0	4471.0	2034.0	4030.0	5819.0	3412.0	5666.0	5734.0	7732.0	5549.0	3238.0	6093.0	5360.0	2543.0	1111.0	981.0	5176.0	1619.0	1897.0	5800.0	7663.0	560.0	596.0	1819.0	2446.0	4475.0	3913.0	3294.0	1581.0	962.0	2393.0	2605.0	2108.0	636.0	3831.0	2487.0	5233.0	391.0	4421.0	1250.0	1814.0	973.0	1573.0	3809.0	501.0	1105.0	2435.0	3563.0	1356.0	3656.0	3366.0	2065.0	871.0	1505.0	2570.0	8007.0	565.0	1148252.0	1488278.352641
sub-0044	2083.0	2635.0	2718.0	3103.0	1987.0	4623.0	2794.0	2627.0	1315.0	574.0	2482.0	3260.0	1253.0	2502.0	10840.0	17689.0	1528.0	2559.0	5458.0	1814.0	4733.0	5038.0	4446.0	5170.0	6472.0	6738.0	5354.0	3600.0	6611.0	5949.0	2683.0	1338.0	986.0	6719.0	1725.0	1915.0	7085.0	8170.0	430.0	395.0	1723.0	2774.0	4859.0	2377.0	3399.0	1292.0	608.0	2195.0	2481.0	1686.0	679.0	2825.0	3290.0	5216.0	515.0	3652.0	1378.0	1895.0	1201.0	1545.0	4291.0	448.0	1020.0	2310.0	2346.0	2399.0	3329.0	2701.0	2187.0	1419.0	1754.0	2657.0	10346.0	608.0	1098496.0	1358076.168294
sub-0045	2081.0	3067.0	2700.0	3428.0	1927.0	4352.0	2766.0	2489.0	1409.0	674.0	3360.0	3552.0	948.0	2933.0	10409.0	14445.0	1276.0	1824.0	4513.0	2347.0	3003.0	5517.0	2887.0	5248.0	4235.0	7768.0	5350.0	4383.0	5178.0	5155.0	2425.0	1389.0	984.0	5244.0	1636.0	2309.0	5586.0	6214.0	471.0	31.0	1790.0	2839.0	4725.0	3251.0	3479.0	1125.0	689.0	2020.0	2385.0	1356.0	602.0	3333.0	2292.0	4443.0	301.0	3556.0	1383.0	1246.0	904.0	914.0	2607.0	402.0	891.0	2233.0	3094.0	1603.0	4152.0	2296.0	1669.0	801.0	1822.0	2111.0	7355.0	372.0	1117416.0	1210231.412956
sub-0046	2538.0	2996.0	2863.0	3306.0	2323.0	5590.0	2366.0	2648.0	1611.0	768.0	3697.0	3858.0	1734.0	3463.0	10621.0	19191.0	1857.0	2550.0	5115.0	2661.0	3869.0	5637.0	5566.0	7400.0	6625.0	6664.0	5032.0	4917.0	6330.0	6815.0	3393.0	666.0	740.0	5831.0	2035.0	1734.0	8448.0	7204.0	507.0	587.0	1482.0	3562.0	6472.0	2728.0	4083.0	1727.0	1009.0	2295.0	2738.0	1875.0	513.0	3328.0	1892.0	5079.0	392.0	3871.0	1480.0	2158.0	1170.0	1380.0	3580.0	575.0	1070.0	3082.0	2757.0	1430.0	4339.0	2230.0	2175.0	1826.0	2235.0	2558.0	10819.0	310.0	1305197.0	1606098.295409
sub-0047	2561.0	4021.0	3660.0	3781.0	2279.0	5606.0	2975.0	3107.0	1925.0	640.0	3605.0	4264.0	1729.0	4323.0	11563.0	23518.0	2268.0	3206.0	6535.0	2794.0	5326.0	5244.0	4506.0	6151.0	5752.0	9682.0	6668.0	4782.0	5943.0	7609.0	3090.0	1592.0	1565.0	6884.0	2564.0	2174.0	6985.0	9415.0	502.0	479.0	1754.0	2911.0	5465.0	3351.0	3824.0	1630.0	1095.0	2998.0	3637.0	2010.0	761.0	3809.0	2184.0	6074.0	347.0	4539.0	1312.0	2560.0	1559.0	1762.0	4004.0	560.0	1300.0	2670.0	3956.0	1549.0	5198.0	2644.0	1640.0	860.0	1928.0	3016.0	12498.0	757.0	1315037.0	1620396.617557
sub-0048	2362.0	3936.0	3323.0	3204.0	2225.0	4593.0	2842.0	2626.0	1480.0	628.0	3380.0	3781.0	1278.0	3571.0	12226.0	19199.0	1783.0	2759.0	4874.0	3049.0	4629.0	5356.0	4516.0	6795.0	6194.0	5937.0	8314.0	3232.0	6349.0	7325.0	2636.0	727.0	1046.0	7308.0	2044.0	2707.0	5741.0	7227.0	409.0	600.0	1604.0	3083.0	6331.0	2607.0	3726.0	1743.0	900.0	2701.0	2677.0	1435.0	673.0	3342.0	1729.0	4244.0	687.0	4566.0	1438.0	1220.0	712.0	1359.0	4060.0	555.0	891.0	2230.0	4250.0	1152.0	3497.0	2861.0	2177.0	927.0	1501.0	1875.0	10531.0	835.0	1136284.0	1301696.092796
sub-0049	1528.0	3083.0	2751.0	2752.0	1667.0	4139.0	2192.0	1975.0	1367.0	336.0	2770.0	3052.0	897.0	1967.0	9703.0	18377.0	1468.0	2263.0	3390.0	2217.0	4228.0	4716.0	4016.0	5623.0	5403.0	4948.0	6006.0	3605.0	5986.0	5185.0	2653.0	279.0	1060.0	5465.0	1705.0	2500.0	5661.0	5263.0	585.0	401.0	1431.0	2971.0	5264.0	3006.0	3758.0	1239.0	706.0	2118.0	1883.0	1730.0	688.0	2530.0	1677.0	4290.0	519.0	3639.0	1023.0	1190.0	860.0	1018.0	2420.0	486.0	979.0	2257.0	2918.0	1099.0	3128.0	2618.0	2054.0	778.0	1154.0	2355.0	7739.0	778.0	1070706.0	1184629.23971
sub-0050	2626.0	2598.0	3548.0	4492.0	1729.0	5093.0	2319.0	2859.0	1866.0	811.0	4550.0	4247.0	1120.0	2965.0	15256.0	24828.0	1939.0	2979.0	4346.0	2882.0	3950.0	5067.0	4399.0	7032.0	6948.0	9584.0	7705.0	4376.0	7714.0	6955.0	2896.0	1698.0	1346.0	6979.0	2399.0	2900.0	8399.0	9481.0	554.0	567.0	1914.0	2280.0	6268.0	2657.0	3931.0	1868.0	888.0	2778.0	3168.0	2447.0	794.0	4637.0	2348.0	6604.0	968.0	5034.0	1034.0	1835.0	947.0	1324.0	3815.0	544.0	1011.0	2784.0	4365.0	1216.0	6509.0	3090.0	3489.0	1574.0	2131.0	2907.0	11590.0	628.0	1341559.0	1621316.504598
sub-0051	2381.0	3368.0	2673.0	3728.0	1814.0	5707.0	2665.0	2783.0	1768.0	698.0	3001.0	3699.0	1717.0	2602.0	13014.0	19283.0	1670.0	2647.0	5790.0	3000.0	5088.0	5136.0	4455.0	7382.0	6583.0	7781.0	7750.0	4206.0	6162.0	6184.0	2731.0	2028.0	1118.0	5775.0	2545.0	2102.0	8757.0	8189.0	403.0	380.0	1606.0	3367.0	4741.0	3197.0	3434.0	1872.0	1292.0	2039.0	2587.0	1652.0	783.0	4094.0	2362.0	4903.0	362.0	5846.0	1782.0	1944.0	1538.0	2245.0	3566.0	508.0	1021.0	2995.0	3969.0	1216.0	4325.0	2714.0	2418.0	1217.0	1601.0	2775.0	10039.0	790.0	1295666.0	1498996.190611
sub-0052	1707.0	3182.0	3128.0	4192.0	2121.0	4829.0	3237.0	3653.0	1952.0	938.0	2994.0	3355.0	1199.0	2118.0	11272.0	21515.0	2114.0	2177.0	4768.0	1871.0	5070.0	6203.0	5261.0	5930.0	6562.0	6684.0	4988.0	4154.0	8083.0	5333.0	2874.0	1152.0	801.0	3905.0	2033.0	1290.0	9040.0	5521.0	640.0	653.0	1522.0	2138.0	4501.0	3176.0	4057.0	1960.0	844.0	2001.0	3089.0	1631.0	579.0	3189.0	2001.0	6658.0	543.0	4588.0	1956.0	1609.0	1544.0	1834.0	3721.0	492.0	1001.0	2750.0	2793.0	1505.0	4409.0	2963.0	2383.0	1226.0	1613.0	2937.0	7785.0	354.0	1168873.0	1372640.288417
sub-0053	2158.0	3396.0	2638.0	3966.0	1736.0	4600.0	2650.0	2509.0	1952.0	676.0	3123.0	3393.0	1225.0	2809.0	11603.0	18870.0	1610.0	2459.0	4549.0	3005.0	3262.0	4702.0	4334.0	6360.0	6390.0	7133.0	5419.0	4866.0	5737.0	5221.0	3083.0	684.0	816.0	4853.0	2053.0	2371.0	6419.0	7609.0	408.0	665.0	1427.0	3389.0	4778.0	2530.0	3467.0	1508.0	783.0	2112.0	2810.0	1544.0	727.0	3180.0	1836.0	4650.0	530.0	3588.0	1469.0	1936.0	771.0	1082.0	3256.0	554.0	1013.0	2853.0	3486.0	1331.0	4485.0	2023.0	2011.0	1034.0	1842.0	2216.0	8690.0	621.0	1164251.0	1262352.865019
sub-0054	2714.0	2675.0	3530.0	3387.0	2191.0	4590.0	2280.0	2482.0	1436.0	440.0	3130.0	4359.0	1079.0	2329.0	11689.0	20213.0	1422.0	2322.0	5086.0	2673.0	4262.0	4461.0	3547.0	6694.0	6708.0	8727.0	6706.0	4137.0	5664.0	6663.0	2532.0	1202.0	1266.0	7339.0	2141.0	2778.0	8161.0	7451.0	504.0	96.0	1448.0	2802.0	5804.0	2670.0	3522.0	1450.0	928.0	2270.0	2394.0	2154.0	582.0	3792.0	2055.0	6321.0	719.0	4316.0	1323.0	2176.0	1129.0	1216.0	3201.0	707.0	1213.0	2780.0	3644.0	1397.0	3772.0	2312.0	1468.0	1161.0	1576.0	2861.0	10544.0	677.0	1220922.0	1354248.342829
sub-0055	2218.0	2618.0	4253.0	3384.0	1822.0	4144.0	2374.0	2923.0	1756.0	623.0	2580.0	2957.0	1149.0	2257.0	10278.0	18129.0	1859.0	2328.0	3562.0	2937.0	4882.0	3971.0	4441.0	6385.0	5189.0	9588.0	6708.0	4949.0	5929.0	6441.0	2510.0	784.0	1398.0	5872.0	1809.0	2629.0	5688.0	7315.0	362.0	404.0	1702.0	2641.0	5510.0	2755.0	4205.0	2035.0	860.0	2599.0	2338.0	1477.0	583.0	2536.0	1597.0	3775.0	721.0	4345.0	1604.0	1755.0	958.0	1579.0	3054.0	469.0	1105.0	2389.0	3260.0	1318.0	5097.0	2747.0	1817.0	974.0	1275.0	1905.0	9693.0	690.0	1102577.0	1220870.241676
sub-0056	2144.0	3624.0	2323.0	3191.0	1769.0	4588.0	2296.0	2725.0	1660.0	528.0	2633.0	3947.0	1089.0	2762.0	10108.0	16494.0	1552.0	2295.0	5165.0	1902.0	3905.0	4345.0	2649.0	6524.0	8216.0	5909.0	4867.0	3591.0	6081.0	5774.0	2739.0	1846.0	973.0	6432.0	2548.0	2432.0	7073.0	8822.0	488.0	730.0	1423.0	2595.0	5132.0	2395.0	3460.0	1485.0	863.0	2272.0	2598.0	1504.0	828.0	3870.0	1682.0	4069.0	999.0	4482.0	1299.0	1769.0	731.0	1386.0	3042.0	641.0	1109.0	2751.0	3216.0	1317.0	3628.0	2899.0	2393.0	1151.0	2083.0	3099.0	12344.0	443.0	1152178.0	1323288.326223
sub-0057	2509.0	2919.0	2786.0	2821.0	1890.0	4097.0	1871.0	2019.0	1647.0	485.0	2014.0	3036.0	1138.0	2408.0	9108.0	16049.0	1556.0	2027.0	3920.0	2038.0	4682.0	3944.0	2733.0	6038.0	4940.0	6318.0	6193.0	3083.0	4963.0	5120.0	2722.0	1652.0	836.0	5546.0	2343.0	2056.0	5286.0	6000.0	364.0	451.0	1460.0	2707.0	5021.0	2473.0	3500.0	1417.0	758.0	2092.0	2652.0	1519.0	520.0	2725.0	1731.0	4093.0	409.0	4698.0	1065.0	1321.0	1175.0	1424.0	3023.0	444.0	1113.0	1962.0	2428.0	781.0	3978.0	2119.0	1769.0	1162.0	1635.0	1678.0	8990.0	841.0	1065511.0	1471361.003633
sub-0058	1635.0	3535.0	2931.0	3054.0	1700.0	3825.0	2156.0	2242.0	1577.0	957.0	3352.0	3422.0	1230.0	1967.0	8008.0	16368.0	1516.0	2174.0	3632.0	2870.0	4651.0	5426.0	3541.0	6912.0	6358.0	6986.0	5934.0	4144.0	5879.0	6231.0	2520.0	970.0	1287.0	5095.0	2018.0	1775.0	6049.0	7736.0	366.0	347.0	1544.0	2539.0	4780.0	3386.0	3690.0	1602.0	1030.0	2139.0	2484.0	1389.0	663.0	3048.0	1528.0	4279.0	483.0	4350.0	1362.0	1891.0	1268.0	1805.0	3113.0	504.0	1028.0	2591.0	2771.0	1262.0	3840.0	2609.0	1826.0	1016.0	2061.0	2546.0	9690.0	783.0	1146292.0	1272362.251359
sub-0059	2470.0	4104.0	3644.0	3382.0	1992.0	4987.0	1911.0	2992.0	1793.0	600.0	3583.0	3313.0	1633.0	2308.0	10795.0	18247.0	1528.0	2360.0	5218.0	2676.0	4215.0	5427.0	4771.0	6565.0	6648.0	7484.0	6282.0	4507.0	5651.0	6259.0	2759.0	2108.0	1030.0	5955.0	1739.0	2038.0	6133.0	7476.0	320.0	549.0	1648.0	3652.0	5592.0	3031.0	3928.0	2097.0	1069.0	2332.0	2569.0	1559.0	779.0	2950.0	1875.0	4382.0	170.0	4017.0	1697.0	2215.0	1202.0	1078.0	4126.0	459.0	998.0	2497.0	2915.0	1043.0	5156.0	2793.0	1826.0	959.0	1784.0	2768.0	9148.0	806.0	1207003.0	1637677.191224
sub-0060	2511.0	2443.0	2539.0	2763.0	2204.0	3729.0	1789.0	2092.0	1169.0	585.0	3586.0	3497.0	1129.0	1869.0	9286.0	18010.0	1239.0	1831.0	4065.0	2259.0	3037.0	4994.0	5071.0	5357.0	5607.0	6277.0	5203.0	3026.0	5632.0	4510.0	2336.0	1210.0	730.0	4462.0	1631.0	2378.0	4383.0	6158.0	347.0	443.0	1740.0	3032.0	4357.0	3583.0	3491.0	1074.0	917.0	1834.0	2018.0	1488.0	403.0	2524.0	2204.0	4045.0	895.0	4510.0	1847.0	1126.0	1137.0	1407.0	3620.0	394.0	882.0	2208.0	3261.0	1074.0	2995.0	3304.0	2342.0	1001.0	980.0	1591.0	7196.0	389.0	1059213.0	1152295.99882
sub-0061	2259.0	2401.0	2459.0	2748.0	2265.0	4604.0	2136.0	2309.0	1198.0	518.0	2419.0	3098.0	1295.0	2700.0	7980.0	16895.0	1830.0	2208.0	3417.0	1944.0	3994.0	4588.0	2688.0	5299.0	4992.0	6916.0	5620.0	3253.0	5217.0	5065.0	2540.0	1152.0	1030.0	5515.0	1448.0	1611.0	5962.0	6236.0	424.0	397.0	1443.0	2423.0	6341.0	2356.0	2931.0	1162.0	868.0	2018.0	2100.0	1468.0	560.0	2981.0	1932.0	4843.0	464.0	4023.0	735.0	1478.0	698.0	1478.0	3141.0	328.0	727.0	2645.0	2738.0	936.0	3715.0	2106.0	1845.0	783.0	1219.0	1674.0	6411.0	366.0	959967.0	1029870.371546
sub-0062	1831.0	3441.0	2634.0	3204.0	1388.0	3892.0	2535.0	2458.0	1683.0	774.0	3682.0	3606.0	1266.0	3454.0	9250.0	17987.0	1477.0	1793.0	5288.0	2758.0	3906.0	5132.0	4847.0	6444.0	5202.0	5258.0	5562.0	4057.0	6606.0	5399.0	2603.0	1032.0	1576.0	5295.0	1812.0	1735.0	5743.0	6672.0	483.0	770.0	1467.0	2950.0	5202.0	3508.0	3693.0	1446.0	1070.0	2112.0	2176.0	1879.0	527.0	4051.0	2081.0	4090.0	321.0	3478.0	1542.0	1763.0	1133.0	1557.0	3598.0	649.0	1226.0	2476.0	3622.0	1187.0	3837.0	2579.0	1698.0	1277.0	1384.0	2589.0	9294.0	603.0	1139987.0	1505539.037986
sub-0063	1791.0	3853.0	3043.0	3711.0	1360.0	4732.0	2157.0	2290.0	1703.0	652.0	2964.0	3184.0	836.0	2409.0	11049.0	17246.0	1864.0	2522.0	4656.0	2525.0	5191.0	5396.0	4049.0	6584.0	6724.0	6611.0	5876.0	4312.0	7034.0	6252.0	2625.0	1500.0	1122.0	5407.0	2724.0	1498.0	6255.0	7063.0	306.0	409.0	1456.0	2398.0	4983.0	3388.0	4512.0	1511.0	772.0	2031.0	2584.0	1422.0	699.0	2874.0	1795.0	4027.0	90.0	3991.0	1675.0	1793.0	1420.0	1794.0	3468.0	493.0	934.0	2392.0	2528.0	1074.0	3929.0	2543.0	2237.0	916.0	1577.0	2402.0	11241.0	645.0	1288682.0	1778611.402802
