lh.aparc.a2009s.area	lh_G&S_frontomargin_area	lh_G&S_occipital_inf_area	lh_G&S_paracentral_area	lh_G&S_subcentral_area	lh_G&S_transv_frontopol_area	lh_G&S_cingul-Ant_area	lh_G&S_cingul-Mid-Ant_area	lh_G&S_cingul-Mid-Post_area	lh_G_cingul-Post-dorsal_area	lh_G_cingul-Post-ventral_area	lh_G_cuneus_area	lh_G_front_inf-Opercular_area	lh_G_front_inf-Orbital_area	lh_G_front_inf-Triangul_area	lh_G_front_middle_area	lh_G_front_sup_area	lh_G_Ins_lg&S_cent_ins_area	lh_G_insular_short_area	lh_G_occipital_middle_area	lh_G_occipital_sup_area	lh_G_oc-temp_lat-fusifor_area	lh_G_oc-temp_med-Lingual_area	lh_G_oc-temp_med-Parahip_area	lh_G_orbital_area	lh_G_pariet_inf-Angular_area	lh_G_pariet_inf-Supramar_area	lh_G_parietal_sup_area	lh_G_postcentral_area	lh_G_precentral_area	lh_G_precuneus_area	lh_G_rectus_area	lh_G_subcallosal_area	lh_G_temp_sup-G_T_transv_area	lh_G_temp_sup-Lateral_area	lh_G_temp_sup-Plan_polar_area	lh_G_temp_sup-Plan_tempo_area	lh_G_temporal_inf_area	lh_G_temporal_middle_area	lh_Lat_Fis-ant-Horizont_area	lh_Lat_Fis-ant-Vertical_area	lh_Lat_Fis-post_area	lh_Pole_occipital_area	lh_Pole_temporal_area	lh_S_calcarine_area	lh_S_central_area	lh_S_cingul-Marginalis_area	lh_S_circular_insula_ant_area	lh_S_circular_insula_inf_area	lh_S_circular_insula_sup_area	lh_S_collat_transv_ant_area	lh_S_collat_transv_post_area	lh_S_front_inf_area	lh_S_front_middle_area	lh_S_front_sup_area	lh_S_interm_prim-Jensen_area	lh_S_intrapariet&P_trans_area	lh_S_oc_middle&Lunatus_area	lh_S_oc_sup&transversal_area	lh_S_occipital_ant_area	lh_S_oc-temp_lat_area	lh_S_oc-temp_med&Lingual_area	lh_S_orbital_lateral_area	lh_S_orbital_med-olfact_area	lh_S_orbital-H_Shaped_area	lh_S_parieto_occipital_area	lh_S_pericallosal_area	lh_S_postcentral_area	lh_S_precentral-inf-part_area	lh_S_precentral-sup-part_area	lh_S_suborbital_area	lh_S_subparietal_area	lh_S_temporal_inf_area	lh_S_temporal_sup_area	lh_S_temporal_transverse_area	lh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV
sub-0033	723.0	1436.0	955.0	1023.0	550.0	1458.0	810.0	866.0	438.0	179.0	1353.0	907.0	275.0	1130.0	2743.0	4585.0	412.0	434.0	1274.0	1004.0	1410.0	1873.0	711.0	1591.0	1948.0	1957.0	1817.0	1484.0	1407.0	1484.0	618.0	465.0	270.0	1252.0	505.0	585.0	1663.0	1653.0	189.0	215.0	685.0	1411.0	1158.0	1617.0	1782.0	762.0	333.0	887.0	1191.0	551.0	426.0	1678.0	790.0	2447.0	159.0	2046.0	575.0	900.0	433.0	755.0	1541.0	376.0	428.0	929.0	1374.0	768.0	1918.0	1012.0	808.0	480.0	598.0	940.0	3760.0	227.0	81400.0	1114250.0	1282027.556818
sub-0034	829.0	876.0	1100.0	1052.0	614.0	1701.0	1021.0	1212.0	382.0	284.0	1406.0	926.0	328.0	866.0	3471.0	4811.0	420.0	428.0	1513.0	942.0	1142.0	2010.0	967.0	1634.0	1412.0	1686.0	1731.0	1760.0	1911.0	1910.0	635.0	342.0	408.0	1285.0	438.0	589.0	1684.0	1703.0	220.0	199.0	768.0	1302.0	1099.0	1716.0	2289.0	758.0	366.0	979.0	1150.0	664.0	321.0	1497.0	944.0	2339.0	151.0	1588.0	639.0	1163.0	559.0	534.0	1385.0	243.0	476.0	952.0	1298.0	812.0	1824.0	1158.0	1121.0	621.0	743.0	929.0	3363.0	275.0	83876.8	1190883.0	1281517.339249
sub-0035	777.0	1174.0	1044.0	1099.0	581.0	1566.0	944.0	923.0	362.0	142.0	1183.0	894.0	271.0	703.0	3210.0	5291.0	493.0	431.0	1486.0	887.0	1273.0	1395.0	880.0	1620.0	1949.0	1963.0	1654.0	1387.0	1488.0	1544.0	712.0	249.0	395.0	1531.0	453.0	745.0	1566.0	1996.0	168.0	225.0	845.0	1220.0	1144.0	1290.0	1883.0	807.0	296.0	1138.0	1259.0	708.0	277.0	1374.0	993.0	2032.0	218.0	1572.0	368.0	780.0	525.0	603.0	1348.0	292.0	543.0	863.0	1588.0	704.0	1693.0	901.0	886.0	508.0	572.0	970.0	4495.0	236.0	81587.0	1093359.0	1487893.384555
sub-0036	792.0	1185.0	899.0	859.0	435.0	1558.0	939.0	943.0	345.0	151.0	1272.0	776.0	300.0	739.0	2935.0	4675.0	411.0	447.0	1332.0	853.0	1204.0	1998.0	933.0	1488.0	1504.0	1775.0	1758.0	1319.0	1195.0	1696.0	688.0	92.0	259.0	1302.0	454.0	617.0	1879.0	1501.0	197.0	254.0	706.0	1314.0	1049.0	1559.0	1818.0	755.0	300.0	954.0	1118.0	799.0	345.0	1525.0	1054.0	1723.0	304.0	1987.0	646.0	672.0	527.0	701.0	1306.0	224.0	473.0	946.0	1128.0	707.0	1796.0	1061.0	738.0	376.0	589.0	1065.0	4012.0	257.0	78492.9	1042832.0	1170094.984101
sub-0037	838.0	1196.0	995.0	860.0	484.0	1542.0	779.0	869.0	427.0	167.0	1122.0	873.0	265.0	781.0	3022.0	4799.0	418.0	406.0	1402.0	764.0	1180.0	1509.0	765.0	1628.0	1730.0	1711.0	2031.0	1651.0	1630.0	1905.0	757.0	448.0	248.0	1293.0	548.0	560.0	1804.0	1870.0	252.0	277.0	599.0	1213.0	966.0	1412.0	2103.0	759.0	315.0	871.0	1109.0	548.0	309.0	1313.0	983.0	2154.0	317.0	2049.0	591.0	875.0	664.0	682.0	1466.0	240.0	457.0	1048.0	1202.0	681.0	2164.0	1198.0	740.0	425.0	740.0	1236.0	4346.0	193.0	81775.9	1077984.0	1313579.750429
sub-0038	748.0	1117.0	942.0	1034.0	421.0	1507.0	803.0	944.0	426.0	182.0	1129.0	936.0	302.0	727.0	3062.0	5235.0	421.0	473.0	1435.0	845.0	1152.0	1681.0	817.0	1722.0	1810.0	1796.0	2132.0	1369.0	1721.0	1958.0	721.0	202.0	306.0	1268.0	565.0	685.0	1783.0	1530.0	225.0	219.0	747.0	1146.0	983.0	1333.0	1992.0	718.0	377.0	822.0	1118.0	670.0	338.0	1445.0	939.0	2110.0	105.0	2122.0	620.0	872.0	505.0	611.0	1308.0	208.0	481.0	898.0	1366.0	755.0	1670.0	1475.0	908.0	471.0	928.0	696.0	3734.0	314.0	81134.9	1065041.0	1155574.165384
sub-0039	550.0	902.0	856.0	807.0	470.0	1288.0	859.0	883.0	405.0	178.0	1282.0	819.0	311.0	808.0	2354.0	4125.0	352.0	425.0	1615.0	971.0	954.0	1861.0	921.0	1316.0	2103.0	1607.0	2247.0	1198.0	1378.0	1899.0	548.0	320.0	277.0	1282.0	508.0	484.0	1665.0	1829.0	212.0	268.0	699.0	1274.0	1096.0	1611.0	1784.0	685.0	292.0	792.0	959.0	666.0	385.0	1558.0	683.0	1530.0	26.0	2181.0	571.0	1091.0	595.0	573.0	1358.0	275.0	337.0	723.0	1132.0	839.0	1768.0	1028.0	634.0	467.0	772.0	1048.0	4534.0	269.0	77371.9	1042272.0	1216281.240076
sub-0040	857.0	1064.0	1043.0	732.0	472.0	1656.0	888.0	950.0	385.0	187.0	1660.0	1222.0	223.0	610.0	3260.0	4635.0	391.0	435.0	1668.0	881.0	1330.0	2221.0	868.0	1536.0	1571.0	2045.0	1944.0	1466.0	1627.0	1706.0	734.0	412.0	248.0	1232.0	505.0	467.0	1602.0	1664.0	148.0	185.0	657.0	1511.0	1099.0	2114.0	2107.0	753.0	278.0	968.0	1057.0	779.0	263.0	1665.0	915.0	1960.0	260.0	2226.0	836.0	1354.0	549.0	606.0	1301.0	315.0	369.0	961.0	1403.0	914.0	1865.0	1162.0	1082.0	484.0	721.0	1194.0	4094.0	257.0	84809.4	1159406.0	1299590.7541
sub-0041	887.0	1105.0	1023.0	1436.0	618.0	2041.0	1421.0	948.0	607.0	227.0	1069.0	943.0	277.0	767.0	4037.0	5737.0	513.0	608.0	1304.0	1194.0	1331.0	2108.0	1388.0	1741.0	2855.0	3084.0	2574.0	1596.0	2124.0	2461.0	797.0	495.0	482.0	1793.0	677.0	926.0	1970.0	1909.0	175.0	220.0	956.0	1320.0	1211.0	1520.0	2339.0	569.0	432.0	1003.0	1281.0	1005.0	357.0	1809.0	1238.0	3204.0	508.0	2660.0	755.0	849.0	458.0	704.0	1588.0	351.0	518.0	1091.0	1666.0	1235.0	2748.0	1700.0	1066.0	687.0	1310.0	1483.0	4971.0	247.0	102306.0	1403826.0	1809842.58152
sub-0042	880.0	1092.0	1041.0	949.0	564.0	1451.0	952.0	997.0	363.0	176.0	1703.0	793.0	228.0	978.0	3444.0	5244.0	543.0	468.0	1731.0	1263.0	1001.0	1887.0	824.0	1680.0	1823.0	2025.0	2177.0	1578.0	1417.0	1973.0	721.0	412.0	287.0	1375.0	500.0	841.0	1813.0	1756.0	245.0	226.0	770.0	1421.0	1126.0	1540.0	2060.0	758.0	348.0	1048.0	1191.0	596.0	389.0	1510.0	1124.0	2377.0	70.0	2248.0	907.0	1178.0	460.0	849.0	1576.0	362.0	500.0	923.0	1773.0	723.0	2070.0	991.0	727.0	573.0	796.0	1083.0	3960.0	333.0	87779.2	1153841.0	1233708.303119
sub-0043	707.0	934.0	906.0	1231.0	631.0	1499.0	818.0	872.0	414.0	249.0	1634.0	1136.0	338.0	1228.0	3502.0	5236.0	462.0	464.0	1515.0	917.0	1175.0	2529.0	813.0	1651.0	1784.0	2387.0	1958.0	1449.0	1649.0	1615.0	656.0	382.0	248.0	1214.0	442.0	762.0	1715.0	1818.0	297.0	307.0	860.0	1337.0	980.0	2387.0	1979.0	819.0	385.0	930.0	1196.0	789.0	342.0	1843.0	1116.0	2225.0	173.0	2376.0	750.0	989.0	454.0	511.0	1586.0	259.0	553.0	890.0	1619.0	749.0	2004.0	1417.0	965.0	425.0	757.0	1173.0	3470.0	251.0	88102.8	1148252.0	1488278.352641
sub-0044	745.0	960.0	880.0	942.0	558.0	1405.0	880.0	911.0	356.0	162.0	1216.0	774.0	239.0	650.0	2904.0	4381.0	386.0	431.0	1746.0	837.0	1210.0	1989.0	956.0	1138.0	1715.0	1928.0	1656.0	1341.0	1695.0	1651.0	623.0	428.0	269.0	1394.0	353.0	743.0	1586.0	1946.0	204.0	140.0	821.0	1348.0	1013.0	1524.0	1928.0	682.0	232.0	841.0	1024.0	703.0	382.0	1322.0	1079.0	2182.0	175.0	1774.0	798.0	946.0	535.0	586.0	1748.0	197.0	405.0	837.0	1142.0	1121.0	1562.0	1186.0	926.0	466.0	706.0	1197.0	4169.0	291.0	80179.9	1098496.0	1358076.168294
sub-0045	798.0	1091.0	962.0	1118.0	525.0	1488.0	1091.0	948.0	385.0	207.0	1607.0	1057.0	285.0	1004.0	3674.0	4206.0	359.0	395.0	1455.0	993.0	1003.0	2430.0	730.0	1558.0	1276.0	2441.0	1954.0	1634.0	1600.0	1725.0	692.0	651.0	344.0	1394.0	427.0	765.0	1684.0	1550.0	262.0	23.0	896.0	1509.0	1039.0	1992.0	2013.0	606.0	321.0	880.0	1133.0	544.0	380.0	1653.0	1224.0	2010.0	106.0	1934.0	728.0	660.0	355.0	403.0	1328.0	236.0	463.0	911.0	1606.0	1000.0	2241.0	1166.0	729.0	370.0	819.0	1052.0	3419.0	175.0	83692.0	1117416.0	1210231.412956
sub-0046	790.0	1089.0	1164.0	1035.0	547.0	1687.0	953.0	944.0	374.0	194.0	1795.0	1045.0	410.0	970.0	2885.0	5213.0	447.0	443.0	1791.0	1157.0	1117.0	2391.0	1250.0	1800.0	2101.0	1968.0	2050.0	1923.0	1670.0	2075.0	722.0	276.0	233.0	1337.0	521.0	632.0	2079.0	1825.0	268.0	263.0	744.0	1614.0	1242.0	1713.0	2339.0	849.0	370.0	928.0	1172.0	914.0	310.0	1522.0	947.0	2003.0	186.0	1984.0	894.0	1192.0	524.0	652.0	1509.0	284.0	384.0	1067.0	1318.0	770.0	2167.0	1004.0	1114.0	622.0	1052.0	1203.0	4482.0	122.0	90628.9	1305197.0	1606098.295409
sub-0047	756.0	1426.0	1184.0	1166.0	569.0	1928.0	1024.0	1202.0	433.0	180.0	1520.0	1141.0	449.0	1121.0	3207.0	6220.0	507.0	455.0	1923.0	937.0	1397.0	1904.0	1026.0	1629.0	1604.0	2793.0	2166.0	1696.0	1511.0	2167.0	739.0	484.0	483.0	1605.0	557.0	751.0	1774.0	2120.0	291.0	226.0	863.0	1430.0	1148.0	1792.0	2044.0	766.0	397.0	1062.0	1519.0	767.0	388.0	1799.0	1043.0	2355.0	153.0	2301.0	679.0	1164.0	675.0	852.0	1565.0	237.0	543.0	922.0	1779.0	857.0	2499.0	1150.0	655.0	489.0	830.0	1472.0	4934.0	373.0	95768.1	1315037.0	1620396.617557
sub-0048	803.0	1281.0	960.0	959.0	488.0	1291.0	851.0	891.0	335.0	159.0	1417.0	949.0	311.0	1003.0	3030.0	4472.0	474.0	485.0	1352.0	949.0	1202.0	2153.0	983.0	1618.0	1808.0	1712.0	2929.0	1197.0	1549.0	2000.0	624.0	234.0	258.0	1468.0	455.0	754.0	1360.0	1604.0	233.0	274.0	715.0	1498.0	1065.0	1478.0	2062.0	776.0	342.0	1048.0	1208.0	635.0	379.0	1696.0	842.0	1654.0	217.0	2411.0	732.0	629.0	338.0	588.0	1655.0	323.0	410.0	753.0	1901.0	579.0	1864.0	1143.0	937.0	434.0	645.0	742.0	4191.0	316.0	83079.6	1136284.0	1301696.092796
sub-0049	680.0	1150.0	914.0	857.0	584.0	1404.0	723.0	777.0	355.0	100.0	1411.0	802.0	221.0	565.0	2907.0	5004.0	389.0	421.0	1133.0	879.0	1303.0	2067.0	902.0	1491.0	1695.0	1490.0	1958.0	1370.0	1493.0	1845.0	672.0	78.0	254.0	1250.0	451.0	757.0	1491.0	1268.0	217.0	180.0	685.0	1451.0	1140.0	1805.0	2095.0	683.0	290.0	884.0	920.0	801.0	412.0	1266.0	897.0	1780.0	261.0	1948.0	610.0	731.0	421.0	447.0	1228.0	259.0	387.0	856.0	1527.0	725.0	1730.0	1130.0	899.0	371.0	518.0	1153.0	3439.0	322.0	77581.4	1070706.0	1184629.23971
sub-0050	901.0	926.0	1131.0	1377.0	504.0	1699.0	886.0	990.0	457.0	223.0	1806.0	1060.0	257.0	765.0	4040.0	6490.0	418.0	488.0	1335.0	1174.0	1029.0	1909.0	1023.0	1774.0	1931.0	2925.0	2549.0	1670.0	1921.0	2171.0	646.0	515.0	414.0	1658.0	575.0	931.0	2092.0	2174.0	235.0	206.0	914.0	1191.0	1232.0	1720.0	2177.0	939.0	292.0	950.0	1274.0	797.0	392.0	1943.0	1110.0	2682.0	490.0	2513.0	569.0	923.0	491.0	615.0	1560.0	260.0	404.0	1081.0	1901.0	656.0	2982.0	1181.0	1413.0	604.0	932.0	1281.0	4716.0	298.0	97757.6	1341559.0	1621316.504598
sub-0051	941.0	1213.0	892.0	1259.0	640.0	1760.0	1025.0	1006.0	424.0	222.0	1695.0	1095.0	430.0	845.0	3895.0	5414.0	435.0	462.0	1981.0	1251.0	1438.0	2312.0	1075.0	1894.0	1904.0	2471.0	2584.0	1603.0	1704.0	1899.0	727.0	653.0	388.0	1406.0	603.0	734.0	2209.0	2103.0	201.0	193.0	806.0	1734.0	1201.0	2005.0	1961.0	884.0	495.0	884.0	1194.0	703.0	441.0	2005.0	1125.0	2239.0	216.0	2903.0	914.0	1004.0	662.0	1095.0	1632.0	293.0	529.0	1155.0	1962.0	710.0	2257.0	1237.0	976.0	471.0	762.0	1390.0	4468.0	338.0	97639.5	1295666.0	1498996.190611
sub-0052	744.0	1165.0	997.0	1197.0	550.0	1697.0	1049.0	1216.0	491.0	262.0	1111.0	880.0	278.0	620.0	3474.0	5575.0	520.0	447.0	1462.0	772.0	1307.0	2436.0	1121.0	1562.0	1792.0	2094.0	1836.0	1570.0	1884.0	1637.0	729.0	414.0	220.0	961.0	556.0	465.0	2331.0	1363.0	212.0	246.0	687.0	1022.0	1041.0	1787.0	2176.0	930.0	351.0	816.0	1198.0	771.0	319.0	1574.0	1055.0	2779.0	278.0	2395.0	941.0	881.0	714.0	694.0	1526.0	287.0	460.0	1001.0	1261.0	876.0	2057.0	1211.0	915.0	364.0	630.0	1359.0	3258.0	140.0	86997.7	1168873.0	1372640.288417
sub-0053	810.0	1096.0	857.0	1125.0	499.0	1476.0	915.0	957.0	549.0	197.0	1374.0	923.0	355.0	807.0	3586.0	5161.0	418.0	473.0	1462.0	1110.0	899.0	1851.0	935.0	1768.0	1937.0	2020.0	1907.0	1806.0	1486.0	1674.0	858.0	178.0	234.0	1233.0	518.0	876.0	1568.0	1839.0	224.0	347.0	667.0	1446.0	1170.0	1440.0	1949.0	755.0	348.0	852.0	1223.0	705.0	412.0	1372.0	993.0	2064.0	247.0	1819.0	654.0	993.0	385.0	558.0	1362.0	334.0	546.0	1043.0	1584.0	840.0	2345.0	918.0	889.0	395.0	800.0	998.0	3902.0	283.0	84600.6	1164251.0	1262352.865019
sub-0054	1057.0	1114.0	1086.0	1119.0	713.0	1687.0	866.0	904.0	374.0	149.0	1480.0	1076.0	235.0	753.0	3568.0	5422.0	425.0	463.0	1709.0	1068.0	1121.0	1800.0	826.0	1599.0	2146.0	2816.0	2498.0	1635.0	1646.0	2070.0	658.0	419.0	368.0	1643.0	509.0	1009.0	2173.0	1810.0	219.0	42.0	747.0	1485.0	1303.0	1515.0	2007.0	754.0	326.0	961.0	1075.0	823.0	380.0	1614.0	1071.0	2720.0	281.0	2268.0	748.0	1175.0	442.0	564.0	1474.0	331.0	408.0	1121.0	1723.0	827.0	1944.0	1170.0	685.0	486.0	668.0	1406.0	4754.0	373.0	91905.2	1220922.0	1354248.342829
sub-0055	796.0	929.0	1403.0	1078.0	467.0	1371.0	762.0	1047.0	394.0	194.0	1165.0	759.0	265.0	584.0	2715.0	4792.0	451.0	436.0	1035.0	962.0	1303.0	1600.0	885.0	1507.0	1426.0	2601.0	2057.0	1636.0	1483.0	1914.0	659.0	221.0	303.0	1365.0	478.0	775.0	1426.0	1608.0	157.0	211.0	786.0	1188.0	1083.0	1533.0	2233.0	939.0	303.0	963.0	1071.0	599.0	209.0	1188.0	789.0	1623.0	303.0	2184.0	735.0	908.0	380.0	688.0	1280.0	171.0	383.0	909.0	1527.0	774.0	2282.0	1162.0	819.0	509.0	594.0	818.0	3756.0	325.0	80237.8	1102577.0	1220870.241676
sub-0056	793.0	1112.0	915.0	1004.0	517.0	1522.0	867.0	962.0	403.0	143.0	1396.0	1000.0	255.0	851.0	3039.0	4487.0	361.0	426.0	1665.0	916.0	1203.0	1981.0	631.0	1641.0	2353.0	1861.0	1912.0	1494.0	1765.0	1892.0	714.0	585.0	275.0	1461.0	604.0	821.0	1828.0	2049.0	244.0	333.0	700.0	1118.0	1096.0	1411.0	2025.0	709.0	337.0	882.0	1098.0	618.0	408.0	1713.0	781.0	1748.0	531.0	2259.0	790.0	990.0	392.0	561.0	1410.0	313.0	530.0	1023.0	1614.0	810.0	1951.0	1242.0	1165.0	458.0	923.0	1330.0	4910.0	174.0	86303.7	1152178.0	1323288.326223
sub-0057	900.0	1084.0	1012.0	1043.0	550.0	1334.0	801.0	837.0	418.0	176.0	1127.0	795.0	353.0	698.0	2845.0	4971.0	391.0	373.0	1437.0	787.0	1321.0	1724.0	736.0	1625.0	1567.0	2102.0	2429.0	1346.0	1411.0	1761.0	720.0	507.0	301.0	1379.0	584.0	715.0	1554.0	1571.0	203.0	208.0	787.0	1427.0	1108.0	1535.0	2032.0	742.0	306.0	868.0	1215.0	583.0	246.0	1244.0	903.0	1944.0	245.0	2516.0	598.0	783.0	612.0	724.0	1329.0	247.0	554.0	767.0	1247.0	558.0	2160.0	920.0	872.0	480.0	755.0	836.0	4065.0	340.0	81242.3	1065511.0	1471361.003633
sub-0058	737.0	1325.0	1082.0	1047.0	537.0	1417.0	809.0	845.0	453.0	268.0	1430.0	955.0	351.0	614.0	2707.0	4770.0	480.0	463.0	1162.0	1129.0	1382.0	2226.0	833.0	1964.0	1981.0	2180.0	2070.0	1608.0	1676.0	2062.0	665.0	289.0	406.0	1341.0	492.0	627.0	1703.0	2028.0	209.0	163.0	825.0	1269.0	1186.0	2136.0	2183.0	795.0	384.0	897.0	1149.0	595.0	370.0	1576.0	689.0	1916.0	211.0	2162.0	741.0	957.0	597.0	780.0	1395.0	272.0	467.0	1090.0	1291.0	795.0	1884.0	1138.0	862.0	493.0	968.0	1272.0	4069.0	385.0	86281.0	1146292.0	1272362.251359
sub-0059	1092.0	1275.0	1254.0	1113.0	628.0	1748.0	759.0	1071.0	433.0	196.0	1659.0	942.0	450.0	792.0	3246.0	5233.0	395.0	437.0	1603.0	1129.0	1276.0	2176.0	1146.0	1746.0	1736.0	2061.0	2196.0	1741.0	1503.0	1828.0	682.0	680.0	312.0	1409.0	447.0	715.0	1474.0	1792.0	177.0	264.0	835.0	1645.0	1163.0	1632.0	2114.0	1019.0	379.0	1036.0	1170.0	664.0	382.0	1431.0	1030.0	1922.0	74.0	2030.0	942.0	1104.0	566.0	438.0	1642.0	269.0	482.0	986.0	1366.0	547.0	2376.0	1231.0	813.0	431.0	799.0	1153.0	4090.0	342.0	88920.7	1207003.0	1637677.191224
sub-0060	956.0	989.0	951.0	964.0	648.0	1261.0	745.0	818.0	301.0	216.0	1669.0	977.0	276.0	578.0	2973.0	5292.0	344.0	385.0	1478.0	1010.0	970.0	2168.0	1145.0	1427.0	1671.0	2084.0	1861.0	1196.0	1604.0	1492.0	595.0	444.0	289.0	1263.0	437.0	949.0	1401.0	1598.0	190.0	202.0	838.0	1520.0	1026.0	2253.0	1982.0	594.0	365.0	823.0	989.0	769.0	192.0	1351.0	1083.0	1913.0	519.0	2233.0	1028.0	642.0	507.0	701.0	1340.0	228.0	379.0	941.0	1477.0	575.0	1629.0	1435.0	1055.0	410.0	432.0	716.0	3290.0	182.0	81231.0	1059213.0	1152295.99882
sub-0061	768.0	909.0	935.0	947.0	550.0	1282.0	792.0	869.0	292.0	179.0	1136.0	903.0	303.0	711.0	2501.0	4745.0	452.0	391.0	1125.0	800.0	1045.0	1821.0	674.0	1374.0	1555.0	2039.0	1977.0	1358.0	1509.0	1514.0	584.0	401.0	274.0	1291.0	368.0	638.0	1523.0	1486.0	187.0	188.0	736.0	1180.0	1087.0	1441.0	1783.0	611.0	336.0	860.0	971.0	632.0	369.0	1419.0	773.0	2002.0	165.0	2063.0	436.0	786.0	309.0	641.0	1399.0	174.0	365.0	935.0	1359.0	455.0	1848.0	934.0	841.0	394.0	545.0	811.0	2840.0	194.0	74090.3	959967.0	1029870.371546
sub-0062	796.0	1195.0	1001.0	1032.0	425.0	1256.0	875.0	948.0	443.0	244.0	1580.0	948.0	303.0	993.0	2855.0	4820.0	441.0	384.0	1660.0	1132.0	1242.0	2145.0	1082.0	1709.0	1689.0	1587.0	2068.0	1609.0	1859.0	1643.0	732.0	469.0	464.0	1317.0	457.0	600.0	1801.0	1801.0	246.0	348.0	749.0	1434.0	1127.0	2054.0	2217.0	794.0	394.0	880.0	1062.0	841.0	285.0	1869.0	990.0	1990.0	146.0	1829.0	890.0	942.0	539.0	782.0	1405.0	372.0	612.0	993.0	1813.0	873.0	1985.0	1188.0	808.0	530.0	614.0	1166.0	4275.0	313.0	86964.7	1139987.0	1505539.037986
sub-0063	777.0	1542.0	1125.0	1289.0	467.0	1724.0	882.0	967.0	464.0	228.0	1418.0	902.0	242.0	783.0	3428.0	5147.0	552.0	547.0	1520.0	915.0	1598.0	2309.0	974.0	1819.0	2103.0	2141.0	2038.0	1622.0	1897.0	2118.0	842.0	487.0	385.0	1418.0	787.0	542.0	1824.0	1865.0	154.0	221.0	808.0	1455.0	1160.0	2016.0	2536.0	835.0	349.0	928.0	1251.0	609.0	417.0	1351.0	944.0	1845.0	27.0	2193.0	968.0	941.0	735.0	888.0	1631.0	321.0	494.0	996.0	1363.0	713.0	2069.0	1153.0	1063.0	529.0	755.0	1227.0	5018.0	346.0	91999.5	1288682.0	1778611.402802
sub-0064	831.0	835.0	1031.0	1044.0	452.0	1629.0	875.0	769.0	405.0	204.0	1374.0	853.0	335.0	606.0	2461.0	4645.0	403.0	369.0	1199.0	1093.0	1129.0	2008.0	802.0	1567.0	1661.0	1668.0	2001.0	1699.0	1777.0	1910.0	702.0	368.0	257.0	1410.0	418.0	611.0	1737.0	1451.0	164.0	225.0	692.0	1353.0	1036.0	1828.0	2411.0	645.0	273.0	980.0	1106.0	638.0	211.0	1571.0	748.0	1854.0	144.0	2114.0	760.0	967.0	390.0	605.0	1480.0	298.0	435.0	935.0	1144.0	528.0	1993.0	1219.0	1029.0	410.0	783.0	1175.0	4146.0	298.0	81173.6	1130362.0	1288546.246772
sub-0065	814.0	1359.0	1180.0	982.0	503.0	1518.0	889.0	800.0	481.0	228.0	1272.0	994.0	245.0	781.0	3327.0	5392.0	370.0	490.0	1532.0	1020.0	1581.0	2163.0	762.0	1511.0	1716.0	1963.0	2037.0	1503.0	1600.0	2102.0	569.0	587.0	358.0	1250.0	487.0	868.0	1764.0	1859.0	189.0	233.0	816.0	1338.0	998.0	1601.0	2212.0	777.0	417.0	845.0	1154.0	538.0	395.0	1519.0	845.0	1989.0	150.0	1922.0	865.0	916.0	492.0	814.0	1480.0	314.0	423.0	842.0	1552.0	642.0	2036.0	1132.0	983.0	520.0	898.0	1150.0	3825.0	233.0	85909.2	1171889.0	1323655.107233
sub-0066	881.0	1519.0	1133.0	1217.0	587.0	2037.0	1178.0	1401.0	540.0	255.0	1705.0	1080.0	329.0	902.0	3618.0	6262.0	500.0	492.0	2156.0	1265.0	1254.0	1875.0	1185.0	1805.0	1939.0	2601.0	1973.0	1457.0	1813.0	2167.0	725.0	507.0	361.0	1707.0	499.0	944.0	1669.0	1755.0	237.0	317.0	877.0	1773.0	922.0	1987.0	2158.0	850.0	353.0	1068.0	1227.0	859.0	504.0	1859.0	1308.0	3106.0	131.0	1878.0	1155.0	1326.0	440.0	880.0	1866.0	233.0	459.0	1060.0	1775.0	1188.0	2382.0	1506.0	1031.0	800.0	969.0	724.0	5010.0	382.0	99892.5	1290488.0	1727795.132291
sub-0067	847.0	1002.0	1031.0	951.0	485.0	1704.0	823.0	861.0	452.0	184.0	1354.0	716.0	255.0	713.0	3709.0	5182.0	460.0	412.0	1487.0	1046.0	1286.0	2023.0	804.0	1829.0	1820.0	2275.0	2242.0	1350.0	1609.0	1888.0	724.0	667.0	245.0	1433.0	547.0	606.0	1933.0	2002.0	208.0	206.0	694.0	1341.0	1295.0	1677.0	2036.0	785.0	283.0	978.0	1035.0	697.0	348.0	1693.0	1175.0	2163.0	451.0	2649.0	880.0	947.0	529.0	643.0	1470.0	224.0	492.0	1009.0	1390.0	836.0	2209.0	941.0	876.0	484.0	693.0	1267.0	3956.0	217.0	87735.0	1162188.0	1386454.233187
